ID,Descripcion del problema,Riesgo,Causa raiz,Fecha de identificacion,Tipo de riesgo,Categoria del riesgo,Objetivo del proyecto afectado,Tipo de impacto,Probabilidad,Impacto Alcance,Impacto Tiempo,Impacto Costo,Impacto Calidad,Valoracion global del riesgo,Prioridad,Dueno (Owner),Responsable,Plan de respuesta predeterminado,Estrategia de respuesta adoptada,Plan de respuesta adoptado,Riesgo residual / secundario,Riesgo activado?,Fecha de activacion
R1,Migracion del core en una ventana limitada de corte,Interrupcion del servicio superior a 30 minutos durante el cutover,"Planificacion deficiente, scripts no probados y tiempos reales subestimados",2026-05-09,Amenaza,Tecnico / Operacional,Continuidad operativa y disponibilidad,Directo,4,4,5,4,5,20,Critica,Lider de Migracion,Operaciones + Infraestructura,Preparar plan detallado de cutover y rollback,Mitigar,"Ejecutar simulacros completos, estrategia blue-green, checklist minuto a minuto y ventana de baja demanda",Retraso menor en algunos servicios no criticos,No,
R2,Conversion y traslado de datos bancarios historicos y vigentes,"Perdida, corrupcion o inconsistencia de datos","Mapeo incorrecto, ETL defectuoso y conciliacion insuficiente",2026-05-09,Amenaza,Datos,Integridad de datos y calidad del servicio,Directo,3,5,4,4,5,15,Alta,Arquitecto de Datos,Equipo de Datos / DBA,Respaldos completos y validacion de integridad,Mitigar,"Migracion piloto, conciliacion cuenta a cuenta, doble validacion de saldos y hash de integridad",Diferencias menores en datos no criticos,No,
R3,Adaptacion del sistema a nuevas normas bancarias dentro del plazo,Incumplimiento regulatorio antes de la fecha limite,Interpretacion incompleta de requisitos normativos y retrasos en controles,2026-05-09,Amenaza,Regulatorio / Legal,Cumplimiento y plazo,Directo,3,4,5,4,5,15,Alta,Oficial de Cumplimiento,PM + Compliance + Legal,Revisiones normativas periodicas,Evitar / Mitigar,"Crear matriz de cumplimiento, validaciones con auditoria, evidencias desde el inicio e hitos regulatorios obligatorios",Observaciones menores del regulador,No,
R4,Nuevo entorno basado en microservicios puede no rendir como se espera,Bajo desempeno del nuevo core en produccion,"Arquitectura no optimizada, mala configuracion cloud y latencia entre servicios",2026-05-09,Amenaza,Tecnico / Rendimiento,Disponibilidad y experiencia del cliente,Directo,4,4,4,4,5,20,Critica,Arquitecto de Solucion,SRE / DevOps / Arquitectura,Probar rendimiento antes del go-live,Mitigar,"Pruebas de carga, estres y picos; ajuste de autoscaling, cache, colas y observabilidad",Degradacion temporal de modulos secundarios,No,
R5,"Dependencia de integraciones con ATM, banca movil, pagos y clearing",Fallas en integraciones con sistemas internos y externos,"APIs incompletas, contratos mal definidos y dependencias legacy",2026-05-09,Amenaza,Integracion,Operacion bancaria de punta a punta,Directo,4,4,4,3,5,20,Critica,Lider de Integraciones,Equipos de Canales / Middleware,Inventario y pruebas de interfaces,Mitigar,"Contract testing, pruebas E2E, mocks certificados, transicion por canal y fallback con legado",Fallas parciales en canales de baja transaccionalidad,No,
R6,Nueva infraestructura cloud expuesta a amenazas de seguridad,Vulnerabilidades o brechas de ciberseguridad,"Configuracion insegura, exceso de permisos y secretos mal gestionados",2026-05-09,Amenaza,Seguridad,"Confidencialidad, integridad y cumplimiento",Directo,3,4,4,5,5,15,Alta,CISO,Seguridad + Cloud Team,Aplicar controles de seguridad desde el diseno,Mitigar,"IAM de minimo privilegio, cifrado, vault de secretos, SAST/DAST, pentest y monitoreo SIEM",Riesgo residual de amenazas avanzadas persistentes,No,
R7,El alcance tecnico del proyecto puede superar la capacidad del plazo,Retraso del cronograma por complejidad no prevista,"Deuda tecnica legacy, dependencias ocultas y estimaciones optimistas",2026-05-09,Amenaza,Gestion / Cronograma,Plazo y cumplimiento regulatorio,Directo,4,4,5,4,4,20,Critica,Project Manager,PMO + Arquitectura + Lideres Tecnicos,Seguimiento estricto del camino critico,Mitigar,"Replanificar por olas, priorizar funciones regulatorias, buffers tecnicos y revision semanal de hitos",Recorte de funcionalidades no esenciales,No,
R8,El equipo actual puede no dominar cloud y microservicios,Falta de experiencia tecnica del equipo,Conocimiento centrado en sistemas on-premise y monoliticos,2026-05-09,Amenaza,Recursos Humanos / Tecnico,Calidad tecnica y cronograma,Indirecto,3,3,4,3,4,12,Alta,Gerente del Proyecto,RRHH + Arquitectura + Lider Tecnico,Formacion temprana del equipo,Mitigar,"Capacitacion intensiva, coaching, acompanamiento externo y revisiones de arquitectura",Curva de aprendizaje mas prolongada de lo esperado,No,
R9,"En caso de falla, el retorno al sistema anterior puede no ser viable",Fallo del plan de rollback,"Cambios irreversibles, datos ya transformados y rollback no ensayado",2026-05-09,Amenaza,Operacional / Continuidad,Continuidad y disponibilidad,Directo,3,4,5,4,5,15,Alta,Lider de Migracion,Infraestructura + DBA + Operaciones,Disenar reversa desde el inicio,Mitigar,"Definir criterios de abort, backup consistente, rollback ensayado y scripts reversibles",Recuperacion mas lenta que la prevista,No,
R10,Cambios en procesos y herramientas pueden generar resistencia interna,Resistencia al cambio de usuarios y areas operativas,"Comunicacion insuficiente, temor al cambio y poca capacitacion",2026-05-09,Amenaza,Organizacional,Adopcion y operacion estable,Indirecto,3,3,3,2,4,12,Alta,Lider de Cambio,RRHH + Operaciones + PM,Plan de cambio organizacional,Mitigar,"Comunicacion por fases, capacitaciones, manuales y soporte reforzado durante salida en vivo",Mayor volumen de incidencias de usuario,No,
